Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
284010,Izu-Oshima,18178,Confirmed Eruption,Japan,1,?,1245,,0,,0,,Varve Count,,,,,,,,34.724,139.394
372030,Katla,19945,Confirmed Eruption,Iceland,4,,1245,,0,,0,,Historical Observations,,,,,,,,63.633,-19.083
357111,Sollipulli,12018,Confirmed Eruption,Chile,,,1240,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,-38.97,-71.52
371020,Reykjanes,12500,Confirmed Eruption,Iceland,1,,1240,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
332040,Hualalai,10251,Confirmed Eruption,United States,2,,1240,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.692,-155.87
244040,Savai'i,14810,Confirmed Eruption,Samoa,,,1240,30,0,,0,,Radiocarbon (corrected),,,,,,,,-13.612,-172.525
282110,Asosan,17203,Confirmed Eruption,Japan,2,,1240,,0,,0,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17202,Confirmed Eruption,Japan,2,,1239,,2,,8,,Historical Observations,,,,,,,,32.884,131.104
283050,Hakusan,17475,Confirmed Eruption,Japan,3,?,1239,,0,,0,,Historical Observations,,,,,,,,36.155,136.771
371020,Reykjanes,12499,Confirmed Eruption,Iceland,0,,1238,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
282090,Kirishimayama,17112,Confirmed Eruption,Japan,4,,1235,,1,,25,,Historical Observations,,,,,,,,31.934,130.862
371020,Reykjanes,12498,Confirmed Eruption,Iceland,3,,1231,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
283190,Zaozan [Zaosan],17953,Confirmed Eruption,Japan,2,,1230,,11,?,29,,Historical Observations,,,,,,,,38.144,140.44
313010,Augustine,20261,Confirmed Eruption,United States,,,1230,50,0,,0,,Radiocarbon (corrected),,,,,,,,59.363,-153.43
263250,Merapi,15842,Confirmed Eruption,Indonesia,,,1230,200,0,,0,,Radiocarbon (corrected),,,,,,,,-7.54,110.446
211042,Lipari,13405,Confirmed Eruption,Italy,,,1230,40,0,,0,,Magnetism,,,,,,,,38.49,14.933
211050,Vulcano,13465,Confirmed Eruption,Italy,0,,1230,20,0,,0,,Magnetism,,,,,,,,38.404,14.962
222051,Emuruangogolak,13979,Confirmed Eruption,Kenya,0,,1230,150,0,,0,,Magnetism,,,,,,,,1.5,36.33
373010,Grimsvotn,12767,Confirmed Eruption,Iceland,,,1230,10,0,,0,,Ice Core,,,,,,,,64.416,-17.316
282110,Asosan,17201,Uncertain Eruption,Japan,2,,1229,,12,,31,365,,,,,,,,,32.884,131.104
283190,Zaozan [Zaosan],17952,Confirmed Eruption,Japan,3,,1227,,10,?,0,,Historical Observations,,,,,,,,38.144,140.44
371020,Reykjanes,12497,Confirmed Eruption,Iceland,4,,1226,,7,,15,45,Historical Observations,?,1227,,0,,0,,63.817,-22.717
211060,Etna,13648,Confirmed Eruption,Italy,,,1224,,8,?,0,,Historical Observations,,,,,,,,37.748,14.999
371020,Reykjanes,12496,Confirmed Eruption,Iceland,3,,1223,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
372070,Hekla,12734,Confirmed Eruption,Iceland,2,,1222,,0,,0,,Historical Observations,,,,,,,,63.983,-19.666
211060,Etna,13647,Discredited Eruption,Italy,,,1222,,0,,0,,,,,,,,,,37.748,14.999
358010,Osorno,12224,Confirmed Eruption,Chile,,,1220,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,-41.105,-72.496
357150,Puyehue-Cordon Caulle,12206,Confirmed Eruption,Chile,,,1220,150,0,,0,,Radiocarbon (corrected),,,,,,,,-40.59,-72.117
371022,Eldey,12495,Confirmed Eruption,Iceland,4,,1211,,8,,31,30,Historical Observations,,,,,,,,63.733,-23
371020,Reykjanes,12494,Confirmed Eruption,Iceland,,,1211,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
